Wind_turbine_name,Ws_avg,P_avg
R80721,0.18000001,-1.89
R80721,4.8499999,197.32001
R80721,5.04,176.45
R80721,5.3099999,190.61
R80721,3.1500001,-2.8800001
R80721,5.1999998,143.39999
R80721,4.71,114.43
R80721,4.6700001,72.779999
R80721,4.6799998,110.45
R80721,4.6399999,107.13
R80721,5.5300002,250.60001
R80721,2.21,-1.87
R80721,2.3199999,-3.6700001
R80721,2.8599999,-3.8099999
R80721,2.79,-2.9300001
R80721,2.77,-3.1600001
R80721,5.3200002,179.89999
R80721,6.3200002,464.79001
R80721,5.5500002,288.31
R80721,5.1700001,195.39
R80721,0.0,-1.49
R80721,4.8099999,132.96001
R80721,1.52,-8.7299995
R80721,4.2600002,46.34
R80721,2.53,-5.9899998
R80721,5.4000001,141.24001
R80721,5.3000002,-4.5700002
R80721,7.0700002,654.73999
R80721,7.1799998,623.82001
R80721,0.0,-3.28
R80721,3.0699999,-4.8200002
R80721,6.1500001,374.23999
R80721,10.13,1589.01
R80721,9.1000004,1263.53
R80721,8.4399996,1080.26
R80721,5.0900002,207.17
R80721,5.6700001,244.08
R80721,4.5500002,85.290001
R80721,7.7800002,780.84003
R80721,8.6899996,1014.05
R80721,6.9899998,584.26001
R80721,7.2800002,690.16998
R80721,8.1400003,879.54999
R80721,8.3699999,889.40002
R80721,10.22,1372.25
R80721,9.1700001,1185.11
R80721,6.5500002,511.14001
R80721,7.2199998,597.65002
R80721,9.46,1250.24
R80721,10.93,1545.15
R80721,11.46,1652.02
R80721,6.1100001,357.91
R80721,4.8200002,131.89
R80721,5.5,221.42999
R80721,2.5799999,-2.6099999
R80721,1.72,-1.51
R80721,4.3899999,49.669998
R80721,1.27,5.6799998
R80721,0.7599999900000001,-1.83
R80721,1.24,-1.63
R80721,4.3499999,32.919998
R80721,5.98,379.57999
R80721,4.9400001,127.43
R80721,4.8499999,88.580002
R80721,4.8200002,140.96001
R80721,5.5900002,268.84
R80721,5.6500001,262.45001
R80721,6.0500002,254.3
R80721,6.02,305.89001
R80721,5.6300001,243.8
R80721,0.0,-1.48
R80721,6.6199999,454.81
R80721,2.5799999,-2.6400001
R80721,0.7599999900000001,-2.27
R80721,3.1600001,11.06
R80721,3.3499999,18.43
R80721,2.3199999,-2.8900001
